snr_level,filename,si_sdr_mixture,si_sdr_separated,si_sdr_improvement,sdr_mixture,sdr_separated,sdr_improvement,sir_mixture,sir_separated,sir_improvement,f1_clean,f1_mixed,f1_separated
-15,sample_0_mixed.wav,-15.58064079284668,-9.65148639678955,5.929154396057129,-13.585705921183314,-9.336178746839737,4.2495271743435765,-13.585705921183314,-7.113699118029221,6.472006803154093,1.0,1.0,1.0
-15,sample_1_mixed.wav,-14.936840057373047,-13.125863075256348,1.8109769821166992,-14.995825199728063,-12.239679874294636,2.756145325433428,-14.995825199728063,-10.531552786827742,4.464272412900321,1.0,0.0,0.0
-15,sample_2_mixed.wav,-15.01327896118164,-9.134355545043945,5.878923416137695,-14.928325292828902,-8.764938287403256,6.163387005425646,-14.928325292828902,-6.290901509630626,8.637423783198276,1.0,1.0,0.0
-15,sample_3_mixed.wav,-15.008966445922852,-12.7064208984375,2.3025455474853516,-14.999911509968376,-12.25404153413379,2.7458699758345855,-14.999911509968376,-11.11746881384838,3.8824426961199965,1.0,1.0,1.0
-15,sample_4_mixed.wav,-15.708839416503906,-14.43183422088623,1.2770051956176758,-13.463179440821884,-13.473432390603312,-0.0102529497814281,-13.463179440821884,-12.597420929302894,0.8657585115189903,1.0,0.0,0.0
-15,sample_5_mixed.wav,-14.98805046081543,-11.152460098266602,3.835590362548828,-14.983619176438168,-10.701260950389457,4.282358226048711,-14.983619176438168,-9.5846629424329,5.398956234005269,1.0,0.0,1.0
-15,sample_6_mixed.wav,-15.109253883361816,-12.539085388183594,2.5701684951782227,-14.496747665635448,-12.132095517986086,2.3646521476493625,-14.496747665635448,-11.185882297719342,3.310865367916106,1.0,0.0,0.0
-15,sample_7_mixed.wav,-14.950543403625488,-13.639896392822266,1.3106470108032227,-14.99984846556625,-13.597614641759574,1.402233823806677,-14.99984846556625,-12.986675853137182,2.0131726124290683,1.0,0.0,0.0
-15,sample_8_mixed.wav,-15.044841766357422,-13.988953590393066,1.0558881759643555,-14.901297614064053,-13.130457063855701,1.7708405502083515,-14.901297614064053,-11.861195376055552,3.040102238008501,1.0,1.0,0.0
-15,sample_9_mixed.wav,-16.507972717285156,-13.185773849487305,3.3221988677978516,-12.541531934122862,-13.014956260015161,-0.47342432589229944,-12.541531934122862,-12.186893782010404,0.3546381521124573,1.0,0.0,0.0
-15,sample_10_mixed.wav,-16.10938262939453,-12.417501449584961,3.6918811798095703,-15.051065201316192,-12.226332331800531,2.8247328695156604,-15.051065201316192,-11.543100029757936,3.507965171558256,1.0,0.0,0.0
-15,sample_11_mixed.wav,-15.062947273254395,-13.516358375549316,1.5465888977050781,-14.999979413584004,-13.131949149741082,1.8680302638429218,-14.999979413584004,-12.541201803078263,2.4587776105057415,1.0,0.0,0.0
-15,sample_12_mixed.wav,-14.948566436767578,-13.556805610656738,1.3917608261108398,-14.03096678234711,-12.884708830276892,1.1462579520702167,-14.03096678234711,-12.050236182174338,1.9807306001727714,1.0,0.0,0.0
-15,sample_13_mixed.wav,-14.807044982910156,-12.731614112854004,2.0754308700561523,-14.968364096715653,-12.484154759910783,2.48420933680487,-14.968364096715653,-11.957554492761144,3.0108096039545096,1.0,0.0,0.0
-15,sample_14_mixed.wav,-15.149099349975586,-12.114209175109863,3.0348901748657227,-14.629572180376307,-11.939400390530796,2.690171789845511,-14.629572180376307,-11.332319319005792,3.2972528613705148,1.0,0.0,0.0
-15,sample_15_mixed.wav,-14.865245819091797,-12.200176239013672,2.665069580078125,-14.99937812439373,-12.053548453955687,2.9458296704380427,-14.99937812439373,-11.085000906253866,3.9143772181398635,1.0,0.0,0.0
-15,sample_16_mixed.wav,-14.893741607666016,-11.520943641662598,3.372797966003418,-14.899079229309603,-11.351228350485627,3.5478508788239758,-14.899079229309603,-10.783464552223482,4.115614677086121,1.0,0.0,0.0
